run,architecture,learning_rate,activation,AUC_ROC_macro,F1_macro,Precision_macro,Recall_macro,Accuracy,n_iterations,time_sec
1,1 שכבה - 8 נוירונים,0.005,relu,0.7986,0.6249,0.6308,0.6264,0.6264,43,19.9
2,1 שכבה - 8 נוירונים,0.005,sigmoid,0.8025,0.6276,0.6381,0.6335,0.6335,84,45.9
3,1 שכבה - 8 נוירונים,0.01,relu,0.7975,0.6122,0.635,0.6264,0.6264,48,18.8
4,1 שכבה - 8 נוירונים,0.01,sigmoid,0.8021,0.6269,0.631,0.6303,0.6303,43,15.1
5,1 שכבה - 8 נוירונים,0.1,relu,0.789,0.6276,0.6392,0.6245,0.6245,19,6.1
6,1 שכבה - 8 נוירונים,0.1,sigmoid,0.7965,0.6226,0.6336,0.6163,0.6163,19,7.3
7,2 שכבות - 4+4 נוירונים,0.005,relu,0.7968,0.6241,0.6303,0.6281,0.6281,41,16.1
8,2 שכבות - 4+4 נוירונים,0.005,sigmoid,0.7983,0.6221,0.6283,0.6272,0.6272,50,20.0
9,2 שכבות - 4+4 נוירונים,0.01,relu,0.7988,0.6243,0.625,0.6247,0.6247,41,16.6
10,2 שכבות - 4+4 נוירונים,0.01,sigmoid,0.7982,0.6253,0.6302,0.6262,0.6262,38,14.9
11,2 שכבות - 4+4 נוירונים,0.1,relu,0.7755,0.6166,0.6322,0.6255,0.6255,18,6.4
12,2 שכבות - 4+4 נוירונים,0.1,sigmoid,0.7933,0.6191,0.6232,0.6237,0.6237,26,10.5
13,4 שכבות - 4 נוירונים כל שכבה,0.005,relu,0.7991,0.6263,0.6287,0.6262,0.6262,82,40.8
14,4 שכבות - 4 נוירונים כל שכבה,0.005,sigmoid,0.797,0.6252,0.6291,0.6231,0.6231,158,78.0
15,4 שכבות - 4 נוירונים כל שכבה,0.01,relu,0.795,0.6172,0.6326,0.6274,0.6274,65,31.6
16,4 שכבות - 4 נוירונים כל שכבה,0.01,sigmoid,0.798,0.6219,0.6356,0.631,0.631,97,48.4
17,4 שכבות - 4 נוירונים כל שכבה,0.1,relu,0.5,0.1667,0.1111,0.3333,0.3333,20,9.3
18,4 שכבות - 4 נוירונים כל שכבה,0.1,sigmoid,0.7874,0.6045,0.6107,0.6044,0.6044,35,17.6
19,8 שכבות - 4 נוירונים כל שכבה,0.005,relu,0.7928,0.6092,0.638,0.6305,0.6305,110,80.1
20,8 שכבות - 4 נוירונים כל שכבה,0.005,sigmoid,0.5,0.1667,0.1111,0.3333,0.3333,13,8.1
21,8 שכבות - 4 נוירונים כל שכבה,0.01,relu,0.5,0.1667,0.1111,0.3333,0.3333,13,9.2
22,8 שכבות - 4 נוירונים כל שכבה,0.01,sigmoid,0.5,0.1667,0.1111,0.3333,0.3334,14,9.9
23,8 שכבות - 4 נוירונים כל שכבה,0.1,relu,0.5,0.1667,0.1111,0.3333,0.3333,14,8.5
24,8 שכבות - 4 נוירונים כל שכבה,0.1,sigmoid,0.5,0.1667,0.1111,0.3333,0.3333,14,9.9
